Indicador,Atual,2023,2022,2021,2020,2019,ticker
P/ATIVO CIRC LIQ,-128,-125,-071,-091,-147,-137,BOBR4
VPA,-,-021,-060,-068,-094,-109,BOBR4
LPA,028,038,009,026,015,-016,BOBR4
GIRO ATIVOS,167,172,170,134,171,161,BOBR4
ROE,"7.721,40%","-180,46%","-14,52%","-37,53%","-16,30%","-14,20%",BOBR4
ROIC,"49,19%","61,63%","61,29%","39,15%","500,43%","162,62%",BOBR4
ROA,"7,90%","12,11%","2,61%","7,85%","5,92%","-6,16%",BOBR4
DÍVIDA LÍQUIDA / EBITDA,109,133,200,187,167,364,BOBR4
DÍVIDA LÍQUIDA / EBIT,123,149,234,218,193,495,BOBR4
DÍVIDA BRUTA / PATRIMÔNIO,40027,-650,-258,-183,-109,-112,BOBR4
PATRIMÔNIO / ATIVOS,-,-007,-018,-021,-036,-043,BOBR4
PASSIVOS / ATIVOS,100,107,118,121,136,143,BOBR4
LIQUIDEZ CORRENTE,097,087,065,057,058,057,BOBR4
CAGR RECEITAS 5 ANOS,"7,78%","6,30%","6,05%","0,74%","1,10%","-1,67%",BOBR4
CAGR LUCROS 5 ANOS,-,"7,36%","-29,19%","2,52%",-%,-%,BOBR4
P/L,-162,788,-563,3365,-11198,34497,NTCO3
P/RECEITA (PSR),077,088,044,088,197,371,NTCO3
P/VP,116,101,072,123,266,1595,NTCO3
DIVIDEND YIELD (DY),"5,57%","0,00%","1,13%","0,00%","0,00%","1,34%",NTCO3
PAYOUT,"-9,22%","0,00%","-6,39%","0,00%","-27,27%","174,09%",NTCO3
MARGEM LÍQUIDA,"-47,34%","11,12%","-7,87%","2,61%","-1,76%","1,08%",NTCO3
MARGEM BRUTA,"63,61%","63,81%","63,81%","65,11%","64,17%","72,08%",NTCO3
MARGEM EBIT,"3,60%","-0,58%","-1,26%","2,78%","2,14%","9,35%",NTCO3
MARGEM EBITDA,"5,89%","5,36%","4,82%","9,73%","9,25%","0,00%",NTCO3
EV/EBITDA,1570,1518,1351,1074,2293,-,NTCO3
EV/EBIT,2567,-14053,-5177,3756,9915,4357,NTCO3
P/EBITDA,1299,1634,918,902,2133,-,NTCO3
P/EBIT,2124,-15127,-3517,3154,9221,3969,NTCO3
P/ATIVO,056,055,029,058,120,253,NTCO3
P/CAP.GIRO,468,420,578,939,2827,-6138,NTCO3
P/ATIVO CIRC LIQ,-089,-088,-042,-082,-173,-456,NTCO3
VPA,1120,1666,1610,2060,1975,242,NTCO3
LPA,-804,214,-206,076,-047,011,NTCO3
GIRO ATIVOS,073,063,066,066,061,068,NTCO3
ROE,"-71,81%","12,87%","-12,80%","3,67%","-2,37%","4,62%",NTCO3
ROIC,"-4,50%","-0,83%","-1,61%","0,17%","1,25%","8,50%",NTCO3
ROA,"-34,47%","6,96%","-5,23%","1,88%","-1,09%","0,73%",NTCO3
DÍVIDA LÍQUIDA / EBITDA,271,-116,433,172,161,-,NTCO3
DÍVIDA LÍQUIDA / EBIT,444,1074,-1659,602,694,388,NTCO3
DÍVIDA BRUTA / PATRIMÔNIO,045,026,061,045,050,321,NTCO3
PATRIMÔNIO / ATIVOS,048,054,041,047,045,016,NTCO3
PASSIVOS / ATIVOS,052,046,059,053,055,097,NTCO3
LIQUIDEZ CORRENTE,146,154,121,127,116,092,NTCO3
CAGR RECEITAS 5 ANOS,"10,28%",-%,-%,-%,-%,-%,NTCO3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,NTCO3
P/L,168,-7282,-1111,085,4128,11818,SYNE3
P/RECEITA (PSR),059,172,134,048,430,824,SYNE3
P/VP,053,048,041,071,136,251,SYNE3
DIVIDEND YIELD (DY),"56,97%","0,00%","12,63%","114,83%","6,81%","0,00%",SYNE3
PAYOUT,"89,47%","0,00%","-140,34%","98,08%","281,01%","0,00%",SYNE3
MARGEM LÍQUIDA,"35,24%","-2,36%","-12,01%","55,79%","10,42%","6,97%",SYNE3
MARGEM BRUTA,"42,97%","55,28%","43,73%","72,20%","63,04%","65,32%",SYNE3
MARGEM EBIT,"59,77%","40,58%","30,12%","70,87%","50,22%","57,58%",SYNE3
MARGEM EBITDA,"65,84%","51,82%","29,37%","8,55%","50,22%","57,58%",SYNE3
EV/EBITDA,108,632,949,1369,1467,1839,SYNE3
EV/EBIT,119,807,925,165,1467,1839,SYNE3
P/EBITDA,090,332,455,557,856,1431,SYNE3
P/EBIT,099,424,443,067,856,1431,SYNE3
P/ATIVO,022,018,016,022,042,073,SYNE3
P/CAP.GIRO,077,217,175,187,641,520,SYNE3
P/ATIVO CIRC LIQ,-032,-020,-018,-028,-048,-090,SYNE3
VPA,1031,993,1000,1011,1011,1011,SYNE3
LPA,322,-007,-037,843,033,022,SYNE3
GIRO ATIVOS,037,011,012,047,010,009,SYNE3
ROE,"31,25%","-0,66%","-3,73%","83,37%","3,28%","2,13%",SYNE3
ROIC,"28,52%","5,41%","4,56%","49,06%","7,00%","6,36%",SYNE3
ROA,"16,51%","0,14%","-0,81%","28,70%","2,60%","1,82%",SYNE3
DÍVIDA LÍQUIDA / EBITDA,018,300,495,812,610,408,SYNE3
DÍVIDA LÍQUIDA / EBIT,020,383,482,098,610,408,SYNE3
DÍVIDA BRUTA / PATRIMÔNIO,054,064,067,104,097,130,SYNE3
PATRIMÔNIO / ATIVOS,041,038,037,032,031,029,SYNE3
PASSIVOS / ATIVOS,035,036,037,043,040,040,SYNE3
LIQUIDEZ CORRENTE,1134,528,484,278,257,388,SYNE3
CAGR RECEITAS 5 ANOS,"24,27%","-2,81%","1,23%","40,50%","4,82%","4,28%",SYNE3
CAGR LUCROS 5 ANOS,"45,30%","-35,52%",-%,"150,03%","19,63%","-8,25%",SYNE3
P/L,1037,1446,1478,2145,1267,3648,MULT3
P/RECEITA (PSR),538,727,632,754,1129,1316,MULT3
P/VP,160,213,173,153,196,307,MULT3
DIVIDEND YIELD (DY),"2,54%","3,51%","3,27%","2,67%","1,93%","1,42%",MULT3
PAYOUT,"50,79%","36,47%","33,67%","52,13%","15,35%","33,33%",MULT3
MARGEM LÍQUIDA,"51,90%","50,28%","42,79%","35,17%","89,15%","36,08%",MULT3
MARGEM BRUTA,"84,98%","92,84%","81,15%","78,94%","74,59%","79,15%",MULT3
MARGEM EBIT,"65,99%","74,25%","59,44%","47,46%","106,00%","53,96%",MULT3
MARGEM EBITDA,"72,26%","81,53%","70,02%","63,91%","126,99%","70,42%",MULT3
EV/EBITDA,884,1012,1057,1547,1117,2108,MULT3
EV/EBIT,968,1111,1246,2084,1338,2751,MULT3
P/EBITDA,745,892,903,1180,889,1869,MULT3
P/EBIT,816,979,1064,1589,1066,2439,MULT3
P/ATIVO,095,128,105,091,116,179,MULT3
P/CAP.GIRO,1433,2529,2348,2038,1455,4399,MULT3
P/ATIVO CIRC LIQ,-116,-154,-125,-106,-140,-208,MULT3
VPA,1414,1336,1268,1226,1201,1077,MULT3
LPA,218,197,148,087,186,091,MULT3
GIRO ATIVOS,018,018,017,012,010,014,MULT3
ROE,"15,41%","14,72%","11,69%","7,12%","15,47%","8,42%",MULT3
ROIC,"11,86%","13,83%","10,59%","6,04%","11,12%","7,07%",MULT3
ROA,"9,13%","10,13%","7,07%","4,25%","9,12%","4,90%",MULT3
DÍVIDA LÍQUIDA / EBITDA,139,120,154,367,227,239,MULT3
DÍVIDA LÍQUIDA / EBIT,152,132,181,494,272,312,MULT3
DÍVIDA BRUTA / PATRIMÔNIO,049,046,045,048,050,056,MULT3
PATRIMÔNIO / ATIVOS,059,060,061,060,059,058,MULT3
PASSIVOS / ATIVOS,041,040,039,040,041,042,MULT3
LIQUIDEZ CORRENTE,156,142,137,145,184,142,MULT3
CAGR RECEITAS 5 ANOS,"10,79%","10,55%","9,22%","3,03%","0,31%","3,23%",MULT3
CAGR LUCROS 5 ANOS,"19,24%","19,96%","15,86%","7,74%","21,64%","4,98%",MULT3
P/L,151,164,436,241,15640,-111,HBTS5
P/RECEITA (PSR),085,145,156,171,226,-1674,HBTS5
P/VP,041,067,055,100,078,049,HBTS5
DIVIDEND YIELD (DY),"4,23%","2,22%","4,85%","0,32%","0,20%","0,65%",HBTS5
PAYOUT,"6,38%","3,64%","21,17%","0,78%","30,58%","-0,72%",HBTS5
MARGEM LÍQUIDA,"56,32%","88,53%","35,78%","71,10%","1,45%","1.509,53%",HBTS5
MARGEM BRUTA,"75,97%","77,25%","93,61%","64,47%","68,78%","225,81%",HBTS5
MARGEM EBIT,"61,70%","96,16%","44,25%","5,57%","46,38%","1.670,97%",HBTS5
MARGEM EBITDA,"62,09%","96,53%","45,06%","11,44%","41,94%","1.643,70%",HBTS5
EV/EBITDA,251,210,609,2071,830,-205,HBTS5
EV/EBIT,252,211,620,4254,751,-202,HBTS5
P/EBITDA,137,150,346,1495,540,-102,HBTS5
P/EBIT,138,151,353,3071,488,-100,HBTS5
P/ATIVO,018,029,020,035,017,010,HBTS5
P/CAP.GIRO,261,493,-290,5908,-134,-017,HBTS5
P/ATIVO CIRC LIQ,-020,-034,-022,-039,-020,-011,HBTS5
VPA,7377,7485,5282,4979,3219,2550,HBTS5
LPA,2007,3077,665,2078,016,-1127,HBTS5
GIRO ATIVOS,021,020,013,020,008,-001,HBTS5
ROE,"27,20%","41,11%","12,58%","41,74%","0,50%","-44,20%",HBTS5
ROIC,"19,68%","31,06%","10,40%","0,18%","7,80%","-37,74%",HBTS5
ROA,"11,45%","17,66%","4,54%","14,36%","0,10%","-8,60%",HBTS5
DÍVIDA LÍQUIDA / EBITDA,114,060,262,576,290,-103,HBTS5
DÍVIDA LÍQUIDA / EBIT,114,060,267,1183,263,-101,HBTS5
DÍVIDA BRUTA / PATRIMÔNIO,038,034,047,051,046,052,HBTS5
PATRIMÔNIO / ATIVOS,043,043,036,034,022,019,HBTS5
PASSIVOS / ATIVOS,057,057,064,066,078,134,HBTS5
LIQUIDEZ CORRENTE,209,168,056,106,054,017,HBTS5
CAGR RECEITAS 5 ANOS,-,"38,15%","49,55%","37,95%","7,42%",-%,HBTS5
CAGR LUCROS 5 ANOS,-,-%,-%,-%,"-25,48%",-%,HBTS5
P/L,527,1042,367,602,2148,3161,LOGG3
P/RECEITA (PSR),792,910,652,1488,2124,2227,LOGG3
P/VP,045,054,040,067,098,097,LOGG3
DIVIDEND YIELD (DY),"12,69%","4,03%","5,38%","1,29%","0,62%","0,43%",LOGG3
PAYOUT,"19,31%","41,96%","19,72%","7,75%","13,29%","13,64%",LOGG3
MARGEM LÍQUIDA,"150,13%","87,30%","177,73%","247,00%","98,88%","70,46%",LOGG3
MARGEM BRUTA,"97,54%","98,64%","98,60%","98,55%","98,80%","98,31%",LOGG3
MARGEM EBIT,"193,56%","119,35%","229,35%","276,97%","177,16%","140,71%",LOGG3
MARGEM EBITDA,"196,20%","120,41%","230,11%","280,99%","178,47%","141,30%",LOGG3
EV/EBITDA,777,1322,579,782,1327,1788,LOGG3
EV/EBIT,788,1334,581,793,1337,1795,LOGG3
P/EBITDA,403,756,283,529,1190,1576,LOGG3
P/EBIT,409,762,284,537,1199,1583,LOGG3
P/ATIVO,025,032,023,043,071,071,LOGG3
P/CAP.GIRO,436,495,840,843,664,-8901,LOGG3
P/ATIVO CIRC LIQ,-031,-038,-026,-051,-088,-092,LOGG3
VPA,4229,4245,4080,3769,3483,3345,LOGG3
LPA,361,219,439,420,159,103,LOGG3
GIRO ATIVOS,003,004,004,003,003,003,LOGG3
ROE,"8,54%","5,15%","10,77%","11,14%","4,57%","3,07%",LOGG3
ROIC,"6,97%","4,50%","9,24%","8,22%","4,08%","3,43%",LOGG3
ROA,"4,75%","3,12%","6,51%","7,43%","3,38%","2,34%",LOGG3
DÍVIDA LÍQUIDA / EBITDA,374,566,295,253,137,211,LOGG3
DÍVIDA LÍQUIDA / EBIT,379,571,296,256,138,212,LOGG3
DÍVIDA BRUTA / PATRIMÔNIO,053,051,049,038,026,030,LOGG3
PATRIMÔNIO / ATIVOS,056,060,058,064,073,074,LOGG3
PASSIVOS / ATIVOS,044,040,040,035,027,045,LOGG3
LIQUIDEZ CORRENTE,145,177,135,152,237,096,LOGG3
CAGR RECEITAS 5 ANOS,"10,55%","16,00%","16,90%","9,07%","8,78%","13,50%",LOGG3
CAGR LUCROS 5 ANOS,"27,75%","32,87%","60,68%","60,80%","52,67%","-19,27%",LOGG3
P/L,642,888,608,478,855,,PLPL3
P/RECEITA (PSR),085,115,054,051,120,,PLPL3
P/VP,259,387,199,220,729,,PLPL3
DIVIDEND YIELD (DY),"4,63%","1,37%","4,05%","6,20%","0,00%",,PLPL3
PAYOUT,"30,37%","12,18%","24,63%","29,61%","0,00%",,PLPL3
MARGEM LÍQUIDA,"13,27%","12,96%","8,96%","10,63%","14,00%",,PLPL3
MARGEM BRUTA,"33,02%","33,94%","28,81%","31,21%","36,92%",,PLPL3
MARGEM EBIT,"16,84%","15,35%","10,85%","12,88%","11,61%",,PLPL3
MARGEM EBITDA,"17,01%","15,66%","12,31%","12,94%","17,49%",,PLPL3
EV/EBITDA,477,724,548,462,723,,PLPL3
EV/EBIT,482,738,621,464,1089,,PLPL3
P/EBITDA,501,735,443,392,685,,PLPL3
P/EBIT,506,750,502,394,1031,,PLPL3
P/ATIVO,088,117,050,051,161,,PLPL3
P/CAP.GIRO,132,222,079,071,206,,PLPL3
P/ATIVO CIRC LIQ,-663,-776,-489,-519,-2776,,PLPL3
VPA,412,302,200,144,104,,PLPL3
LPA,166,131,065,066,089,,PLPL3
GIRO ATIVOS,104,102,092,100,135,,PLPL3
ROE,"40,32%","43,52%","32,79%","46,03%","85,28%",,PLPL3
ROIC,"26,36%","26,92%","13,62%","19,58%","25,92%",,PLPL3
ROA,"15,10%","13,46%","8,17%","10,65%","18,89%",,PLPL3
DÍVIDA LÍQUIDA / EBITDA,-024,-012,105,070,038,,PLPL3
DÍVIDA LÍQUIDA / EBIT,-024,-012,119,070,057,,PLPL3
DÍVIDA BRUTA / PATRIMÔNIO,070,063,131,138,137,,PLPL3
PATRIMÔNIO / ATIVOS,034,030,025,023,022,,PLPL3
PASSIVOS / ATIVOS,073,068,075,075,076,,PLPL3
LIQUIDEZ CORRENTE,442,263,344,478,592,,PLPL3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,PLPL3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,PLPL3
P/L,893,1196,42571,1387,000,000,IGTI3
P/RECEITA (PSR),235,315,317,386,000,000,IGTI3
P/VP,065,087,079,097,000,000,IGTI3
DIVIDEND YIELD (DY),"4,16%","1,74%","1,84%","0,42%","0,00%","0,00%",IGTI3
PAYOUT,"75,05%","35,93%","1.350,40%","3,69%","13,96%","11,99%",IGTI3
MARGEM LÍQUIDA,"26,33%","26,33%","0,74%","27,86%","11,30%","17,03%",IGTI3
MARGEM BRUTA,"63,86%","63,86%","58,59%","56,97%","59,31%","66,61%",IGTI3
MARGEM EBIT,"53,76%","53,76%","48,68%","39,79%","49,40%","63,93%",IGTI3
MARGEM EBITDA,"68,83%","68,83%","64,76%","57,57%","71,82%","80,91%",IGTI3
EV/EBITDA,897,1105,1050,716,404,240,IGTI3
EV/EBIT,1148,1414,1397,1036,587,304,IGTI3
P/EBITDA,342,457,489,671,000,000,IGTI3
P/EBIT,437,586,650,971,000,000,IGTI3
P/ATIVO,035,047,040,045,000,000,IGTI3
P/CAP.GIRO,261,350,686,180,000,000,IGTI3
P/ATIVO CIRC LIQ,-046,-062,-055,-066,000,000,IGTI3
VPA,344,344,337,282,1331,1266,IGTI3
LPA,025,025,0006225,020,063,106,IGTI3
GIRO ATIVOS,015,015,013,012,010,013,IGTI3
ROE,"7,29%","7,29%","0,18%","6,97%","4,73%","8,37%",IGTI3
ROIC,"7,55%","7,55%","4,88%","2,20%","5,10%","9,91%",IGTI3
ROA,"3,96%","3,96%","0,16%","4,70%","2,51%","4,97%",IGTI3
DÍVIDA LÍQUIDA / EBITDA,222,222,193,287,404,240,IGTI3
DÍVIDA LÍQUIDA / EBIT,284,284,257,416,587,304,IGTI3
DÍVIDA BRUTA / PATRIMÔNIO,081,081,076,100,221,160,IGTI3
PATRIMÔNIO / ATIVOS,054,054,051,047,023,027,IGTI3
PASSIVOS / ATIVOS,046,046,049,053,055,085,IGTI3
LIQUIDEZ CORRENTE,216,216,127,464,233,048,IGTI3
CAGR RECEITAS 5 ANOS,"8,91%","9,87%","7,95%","5,11%","1,23%","5,51%",IGTI3
CAGR LUCROS 5 ANOS,"1,58%","5,21%","-41,55%","30,78%",-%,-%,IGTI3
P/L,370,475,738,581,000,,HBRE3
P/RECEITA (PSR),230,408,330,1033,000,,HBRE3
P/VP,018,031,024,053,000,,HBRE3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%",,HBRE3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,HBRE3
MARGEM LÍQUIDA,"62,31%","85,94%","44,75%","177,66%","-26,89%",,HBRE3
MARGEM BRUTA,"80,06%","81,03%","84,17%","84,02%","84,54%",,HBRE3
MARGEM EBIT,"262,88%","282,73%","149,74%","352,15%","113,06%",,HBRE3
MARGEM EBITDA,"265,30%","284,02%","173,77%","358,68%","94,87%",,HBRE3
EV/EBITDA,400,387,543,470,1049,,HBRE3
EV/EBIT,404,388,630,479,880,,HBRE3
P/EBITDA,087,144,190,288,000,,HBRE3
P/EBIT,088,144,221,293,000,,HBRE3
P/ATIVO,008,013,011,024,000,,HBRE3
P/CAP.GIRO,225,339,756,276,000,,HBRE3
P/ATIVO CIRC LIQ,-008,-015,-012,-028,000,,HBRE3
VPA,1931,1962,1869,1658,962,,HBRE3
LPA,095,128,061,151,-020,,HBRE3
GIRO ATIVOS,003,003,003,002,003,,HBRE3
ROE,"4,94%","6,51%","3,27%","9,13%","-2,10%",,HBRE3
ROIC,"9,69%","11,13%","5,95%","10,06%","1,83%",,HBRE3
ROA,"4,80%","5,70%","2,81%","4,79%","-1,05%",,HBRE3
DÍVIDA LÍQUIDA / EBITDA,313,243,353,182,1049,,HBRE3
DÍVIDA LÍQUIDA / EBIT,316,244,410,185,880,,HBRE3
DÍVIDA BRUTA / PATRIMÔNIO,073,062,061,062,089,,HBRE3
PATRIMÔNIO / ATIVOS,041,043,045,045,038,,HBRE3
PASSIVOS / ATIVOS,043,042,042,038,048,,HBRE3
LIQUIDEZ CORRENTE,151,165,120,239,061,,HBRE3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,HBRE3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,HBRE3
P/L,445,521,-1295,6906,2930,3146,SCAR3
P/RECEITA (PSR),099,113,272,827,754,730,SCAR3
P/VP,066,093,071,152,165,185,SCAR3
DIVIDEND YIELD (DY),"9,07%","0,00%","0,79%","0,89%","0,14%","0,78%",SCAR3
PAYOUT,"40,37%","0,00%","-10,26%","61,36%","4,17%","24,56%",SCAR3
MARGEM LÍQUIDA,"22,21%","21,76%","-21,00%","11,97%","25,74%","23,19%",SCAR3
MARGEM BRUTA,"46,45%","49,42%","60,63%","81,40%","80,17%","74,49%",SCAR3
MARGEM EBIT,"35,66%","39,43%","38,93%","54,11%","64,73%","54,73%",SCAR3
MARGEM EBITDA,"40,01%","43,05%","57,06%","71,63%","78,77%","66,47%",SCAR3
EV/EBITDA,502,459,1272,1974,1331,1553,SCAR3
EV/EBIT,563,501,1864,2613,1619,1886,SCAR3
P/EBITDA,247,263,477,1154,957,1097,SCAR3
P/EBIT,277,288,699,1528,1165,1333,SCAR3
P/ATIVO,037,045,030,069,083,092,SCAR3
P/CAP.GIRO,247,238,288,-979,689,-270,SCAR3
P/ATIVO CIRC LIQ,-047,-063,-036,-075,-103,-106,SCAR3
VPA,2893,2962,2558,2706,2679,2548,SCAR3
LPA,432,528,-140,060,151,150,SCAR3
GIRO ATIVOS,037,039,011,008,011,013,SCAR3
ROE,"14,92%","17,81%","-5,48%","2,21%","5,65%","5,87%",SCAR3
ROIC,"12,60%","16,05%","3,65%","3,95%","5,89%","5,45%",SCAR3
ROA,"8,27%","8,52%","-2,36%","0,99%","2,89%","2,94%",SCAR3
DÍVIDA LÍQUIDA / EBITDA,255,196,795,819,373,456,SCAR3
DÍVIDA LÍQUIDA / EBIT,286,214,1166,1085,454,553,SCAR3
DÍVIDA BRUTA / PATRIMÔNIO,076,091,132,115,093,096,SCAR3
PATRIMÔNIO / ATIVOS,055,048,042,045,050,050,SCAR3
PASSIVOS / ATIVOS,044,051,058,054,049,094,SCAR3
LIQUIDEZ CORRENTE,347,277,256,055,273,028,SCAR3
CAGR RECEITAS 5 ANOS,"24,68%","30,55%","-6,96%","-8,56%","-6,59%","4,05%",SCAR3
CAGR LUCROS 5 ANOS,"23,45%","78,85%",-%,"-14,85%","-11,47%","-6,45%",SCAR3
P/L,1855,1583,2244,751,-14352,-32855,LPSB3
P/RECEITA (PSR),123,204,138,148,441,953,LPSB3
P/VP,099,176,145,169,418,787,LPSB3
DIVIDEND YIELD (DY),"2,64%","0,82%","4,15%","0,00%","0,00%","0,00%",LPSB3
PAYOUT,"49,27%","13,00%","93,17%","0,00%","0,00%","0,00%",LPSB3
MARGEM LÍQUIDA,"6,61%","12,90%","6,14%","19,67%","-3,07%","-2,90%",LPSB3
MARGEM BRUTA,"84,83%","84,54%","80,60%","82,43%","85,42%","83,67%",LPSB3
MARGEM EBIT,"24,99%","23,68%","15,58%","19,75%","21,33%","2,66%",LPSB3
MARGEM EBITDA,"35,51%","33,14%","23,65%","27,15%","36,76%","22,56%",LPSB3
EV/EBITDA,246,503,462,359,972,3786,LPSB3
EV/EBIT,349,705,701,494,1676,32145,LPSB3
P/EBITDA,345,616,582,545,1199,4225,LPSB3
P/EBIT,491,862,884,748,2066,35872,LPSB3
P/ATIVO,057,093,068,076,185,347,LPSB3
P/CAP.GIRO,502,924,841,475,637,1129,LPSB3
P/ATIVO CIRC LIQ,-078,-129,-092,-120,-332,-661,LPSB3
VPA,155,143,125,132,119,121,LPSB3
LPA,008,016,008,030,-003,-003,LPSB3
GIRO ATIVOS,046,046,050,052,042,036,LPSB3
ROE,"5,33%","11,13%","6,48%","22,46%","-2,92%","-2,40%",LPSB3
ROIC,"15,71%","14,29%","8,31%","18,98%","10,71%","-5,20%",LPSB3
ROA,"6,95%","25,60%","6,89%","13,26%","3,28%","-0,68%",LPSB3
DÍVIDA LÍQUIDA / EBITDA,-100,-112,-120,-185,-226,-439,LPSB3
DÍVIDA LÍQUIDA / EBIT,-141,-157,-182,-255,-390,-3728,LPSB3
DÍVIDA BRUTA / PATRIMÔNIO,-,000,000,000,001,005,LPSB3
PATRIMÔNIO / ATIVOS,057,053,047,045,044,044,LPSB3
PASSIVOS / ATIVOS,044,048,052,056,056,056,LPSB3
LIQUIDEZ CORRENTE,170,157,147,179,289,283,LPSB3
CAGR RECEITAS 5 ANOS,"4,53%","10,78%","11,92%","8,40%","-3,97%","-13,72%",LPSB3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,LPSB3
P/L,056,,,-059,-147,-046,IGBR3
P/RECEITA (PSR),3027,,,580,2382,517,IGBR3
P/VP,-034,,,-003,-013,-005,IGBR3
DIVIDEND YIELD (DY),-,,,"0,00%","0,00%","0,00%",IGBR3
PAYOUT,-,,,"0,00%","0,00%","0,00%",IGBR3
MARGEM LÍQUIDA,"5.381,57%",,,"-984,73%","-1.615,43%","-1.117,74%",IGBR3
MARGEM BRUTA,"100,00%",,,"100,00%","88,38%","77,99%",IGBR3
MARGEM EBIT,"6.034,66%",,,"-756,73%","-875,62%","-130,96%",IGBR3
MARGEM EBITDA,"32,24%",,,"-710,00%","-618,97%","0,00%",IGBR3
EV/EBITDA,19910,,,-075,-349,-,IGBR3
EV/EBIT,106,,,-070,-247,-394,IGBR3
P/EBITDA,9389,,,-082,-385,-,IGBR3
P/EBIT,050,,,-077,-272,-395,IGBR3
P/ATIVO,104,,,028,157,015,IGBR3
P/CAP.GIRO,-099,,,-008,-013,-050,IGBR3
P/ATIVO CIRC LIQ,-215,,,-029,-191,-015,IGBR3
VPA,-52056,,,-83384,-7905,-6888,IGBR3
LPA,31287,,,-4331,-678,-703,IGBR3
GIRO ATIVOS,003,,,005,007,003,IGBR3
ROE,"-60,10%",,,"-5,19%","-8,58%","-9,73%",IGBR3
ROIC,"-146,76%",,,"3,99%","4,65%","1,14%",IGBR3
ROA,"184,10%",,,"-46,75%","-106,41%","-35,31%",IGBR3
DÍVIDA LÍQUIDA / EBITDA,10521,,,007,036,-,IGBR3
DÍVIDA LÍQUIDA / EBIT,056,,,006,025,0009515,IGBR3
DÍVIDA BRUTA / PATRIMÔNIO,-054,,,000,000,000,IGBR3
PATRIMÔNIO / ATIVOS,-306,,,-900,-1240,-363,IGBR3
PASSIVOS / ATIVOS,406,,,1000,1340,463,IGBR3
LIQUIDEZ CORRENTE,033,,,002,001,003,IGBR3
CAGR RECEITAS 5 ANOS,"-1,56%",,,"-7,98%","-9,32%","-1,17%",IGBR3
CAGR LUCROS 5 ANOS,-,,,-%,-%,-%,IGBR3
P/L,-287,064,-031,-164,000,000,NEXP3
P/RECEITA (PSR),018,015,034,083,000,000,NEXP3
P/VP,-006,-010,-047,1260,000,000,NEXP3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",NEXP3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",NEXP3
MARGEM LÍQUIDA,"-6,37%","22,79%","-111,39%","-50,89%","-175,33%","-65,48%",NEXP3
MARGEM BRUTA,"102,46%","88,05%","55,94%","61,86%","62,65%","72,37%",NEXP3
MARGEM EBIT,"7,11%","29,10%","-113,08%","-38,34%","-171,31%","-53,26%",NEXP3
MARGEM EBITDA,"19,63%","39,45%","-109,21%","-37,12%","-167,75%","-51,05%",NEXP3
EV/EBITDA,611,179,-071,-225,000,000,NEXP3
EV/EBIT,1688,243,-069,-217,000,000,NEXP3
P/EBITDA,093,037,-031,-225,000,000,NEXP3
P/EBIT,257,050,-030,-217,000,000,NEXP3
P/ATIVO,010,011,029,075,000,000,NEXP3
P/CAP.GIRO,-012,-026,-080,-205,000,000,NEXP3
P/ATIVO CIRC LIQ,-016,-018,-044,-093,000,000,NEXP3
VPA,-6366,-5187,-065,007,-032,188,NEXP3
LPA,-137,811,-101,-055,-134,-067,NEXP3
GIRO ATIVOS,052,079,084,090,050,034,NEXP3
ROE,"-2,15%","-15,64%","-154,24%","-769,15%","-423,71%","-35,78%",NEXP3
ROIC,"-3,87%","-33,77%","399,38%","-586,46%","416,31%","-30,79%",NEXP3
ROA,"-2,88%","18,55%","-105,34%","-45,98%","-86,68%","-17,56%",NEXP3
DÍVIDA LÍQUIDA / EBITDA,518,142,-040,000,000,000,NEXP3
DÍVIDA LÍQUIDA / EBIT,1431,193,-039,000,000,000,NEXP3
DÍVIDA BRUTA / PATRIMÔNIO,-040,-044,-060,000,000,000,NEXP3
PATRIMÔNIO / ATIVOS,-156,-115,-061,006,-020,062,NEXP3
PASSIVOS / ATIVOS,255,215,161,094,120,036,NEXP3
LIQUIDEZ CORRENTE,034,046,049,035,071,149,NEXP3
CAGR RECEITAS 5 ANOS,"-15,99%","-3,22%","6,18%","5,40%","-9,38%","-13,43%",NEXP3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,NEXP3
P/L,-006,031,-050,-026,-023,-567,GSHP3
P/RECEITA (PSR),007,018,028,052,120,140,GSHP3
P/VP,-001,-004,-005,-009,-023,4449,GSHP3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","109,63%",GSHP3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","-621,22%",GSHP3
